customer.id,outfit.id,rentalPeriod.start,rentalPeriod.end
4084,outfit.98e0bb4a735b1bf8,2/12/2020,2/15/2020
6050,outfit.26a9eb230d0b4820a0fcc230f0fe8cf2,8/31/2018,9/3/2018
4727,outfit.9fde090f117fb9d9,8/3/2018,8/6/2018
4119,outfit.ff47495b688446ba97ee3781758957b7,9/19/2018,9/24/2018
6771,outfit.be4fe65c50663cf3,11/21/2019,11/23/2019
6272,outfit.9038623c473340038e17175e97642e27,12/4/2018,12/7/2018
5485,outfit.807c233bd352468e,12/16/2017,1/5/2018
3452,outfit.a1b5b9335a89a082,10/18/2018,10/22/2018
3050,outfit.5a20adaebc8846aba11d54264ce6d701,7/4/2019,7/14/2019
3816,outfit.8dd600ca3673694c,8/8/2018,8/14/2018
1422,outfit.6f26dc78e6214ff3ba2ab4a2b6c18d61,1/17/2020,1/20/2020
6880,outfit.c32d9949124f42acb2fe20cf6915e5d7,8/17/2018,8/20/2018
2767,outfit.da3425130a35462997ed114b35d1f355,3/26/2020,3/30/2020
3265,outfit.d3fc8f7773fa40e29f0f9fc22beea4d5,7/19/2019,7/21/2019
4101,outfit.96a898b3fea75da0,2/8/2018,2/10/2018
2657,outfit.be5b658f6bcc253b,5/3/2019,5/6/2019
6992,outfit.69510e71049843628dabe5ef896f1b04,8/9/2018,8/13/2018
4085,outfit.b401ac00dd8e441c8e698a5eaad7a645,8/8/2019,8/11/2019
5244,outfit.c663f1c85a344f039eacb889398b6b91,5/18/2019,5/27/2019
3748,outfit.d4d71ae7c0194db7b38fa774db0981f4,11/23/2019,12/13/2019
3850,outfit.5b68903235a241608191f5099538dd15,8/30/2019,9/2/2019
1434,outfit.2204df2016c84afd873a1d7e09f6ec75,8/9/2019,8/16/2019
1736,outfit.9fde090f117fb9d9,1/30/2018,2/2/2018
6286,outfit.2d872cbfe6434c0c9ec15ebfa518a6e7,12/5/2019,12/9/2019
535,outfit.b2f669ce771e59f9,5/25/2018,5/27/2018
2829,outfit.7b513bfb084a46229d0af61e4ddb584d,10/12/2019,10/14/2019
6972,outfit.b582982c78c4de67,8/20/2019,8/25/2019
2621,outfit.990ee8715a4320f0,8/10/2018,8/27/2018
7342,outfit.22e47ac833dc47889bf2c9bf6baed182,12/28/2019,1/6/2020
6041,outfit.dd04098010f74a67ac9bf82eeb4b976c,10/17/2019,10/21/2019
4401,outfit.31c50265a96d4e49aa5394db37e039f2,8/3/2018,8/6/2018
1848,outfit.03d4b328c21b4915b2de0f534cf3c277,6/20/2019,6/24/2019
3437,outfit.138c6d460dc14dd4a223e9f2a484ad6d,11/15/2019,11/18/2019
5029,outfit.a4699b3b33b4d99c,2/20/2018,3/20/2018
5804,outfit.b3aca8927927e99d,12/1/2018,12/27/2018
5685,outfit.c71e9a58962a404b9d6c8df867b4b392,10/29/2019,10/30/2019
7187,outfit.a6d54a6b44485eef,8/30/2019,9/2/2019
7057,outfit.d60c7801271e488d88f0f13a0b28e6b6,8/12/2019,8/19/2019
5392,outfit.578a20ace62b4299a88b0ce610123797,11/5/2019,11/8/2019
4388,outfit.1a817bab3cd940b3b531138cfa283a39,7/22/2019,8/7/2019
775,outfit.8fda8ef6cb62ebcc,5/11/2019,5/21/2019
4458,outfit.e7617187fa984e898e029a2107868a62,5/16/2018,5/18/2018
1323,outfit.b619ba973b4b49d79c89863737097ab3,7/5/2019,7/10/2019
6185,outfit.9e66a6f700c848439d7384bf192bcf2c,12/8/2018,12/17/2018
3967,outfit.8540f9229614257a,4/11/2018,4/14/2018
3289,outfit.5bf05f8589804ae290c997e60400cb6c,11/4/2019,11/8/2019
6846,outfit.790f5da62cbc479694f4df750c3a76c7,4/29/2020,5/2/2020
4775,outfit.830e914e5bf823e3,6/8/2018,6/11/2018
891,outfit.a018353f2d8b2bb5,11/29/2018,12/3/2018
1383,outfit.972dad1b99724d008818fe4353cf3717,8/13/2018,8/20/2018
959,outfit.b6a27dfa0198a9bb,6/6/2018,6/11/2018
746,outfit.80333429732852d4,12/21/2018,12/29/2018
4139,outfit.8f928d7877b969af,6/6/2019,6/9/2019
6328,outfit.beb7edd11cd741538175c927a81cbf89,1/11/2019,1/14/2019
2795,outfit.9edf55f5369fd779,8/16/2019,8/18/2019
6555,outfit.8238ed2091e347149ddd6114aeeb2655,3/27/2019,4/1/2019
5509,outfit.a20e55da17a5756d,12/19/2018,12/22/2018
6984,outfit.5a77f2e8d8254ad0beb606778317dc5d,12/30/2019,1/2/2020
3962,outfit.7e53d60cec3c4d8bafc4b05ee815c0f5,4/2/2019,4/6/2019
3292,outfit.398089067b414b2d8d1c862f527936e2,7/22/2019,8/12/2019
3843,outfit.c9589d9ee5614042bee37f360dc2058e,4/10/2019,4/12/2019
2567,outfit.ab2165f006de873a,6/21/2019,6/24/2019
7158,outfit.828280fdcb0431d8,5/9/2019,5/12/2019
1244,outfit.aad989fc0422b4eb,4/9/2018,4/16/2018
926,outfit.9edf55f5369fd779,1/18/2018,1/22/2018
4079,outfit.84d367ebb5389860,6/7/2018,6/11/2018
5391,outfit.a95a05ea858446c38ffd5535ab65a392,12/3/2019,12/6/2019
4301,outfit.a8d8ed43947f4b47a904305e0c1dafcd,3/10/2018,3/14/2018
4919,outfit.ab2165f006de873a,8/9/2018,8/11/2018
441,outfit.5c6efec4ec674bdbbd83323de504b6b0,8/15/2019,8/19/2019
135,outfit.7ad7dc784aac4092bbfaadfc46cf6e98,5/31/2019,6/11/2019
2496,outfit.154e86ee968d49f6ba7220ee233223d3,6/6/2019,6/9/2019
1011,outfit.8540f9229614257a,8/3/2018,8/6/2018
418,outfit.944185e8eec8066a,11/13/2019,11/19/2019
3517,outfit.2642578f25ad4381a56801865b762244,2/11/2019,2/13/2019
7085,outfit.1281081f76504447a7b7c623256a1d26,9/6/2019,9/9/2019
7296,outfit.bfad6e38299544e991b1c5f0d92073f6,10/18/2019,10/21/2019
6070,outfit.a397b1daaada4d8c81004e0f3f25160e,3/6/2019,3/9/2019
5725,outfit.44264bb27f644691a9e3b5d774881800,3/28/2019,3/31/2019
2578,outfit.ea6e2ed1ee964a7aa263a287d6d5663b,7/12/2018,7/27/2018
512,outfit.bdd0a16b7008671d,10/28/2019,11/29/2019
1745,outfit.833abaf20683f9df,6/29/2018,7/2/2018
1434,outfit.ff22155b1453460ba39dbad37291a454,6/28/2019,8/4/2019
6323,outfit.31c50265a96d4e49aa5394db37e039f2,10/26/2019,11/7/2019
1449,outfit.62bd543079dc4c8d8241b1969a4562e9,8/17/2018,8/20/2018
6197,outfit.9d23dc455c9c4837a3fe26931f944833,6/12/2018,6/15/2018
1453,outfit.3b8b5f19d5fc4d66ab636569a6c9d030,6/6/2019,6/14/2019
5839,outfit.9a888efe9359a00c,12/5/2017,12/9/2017
4247,outfit.a2883b9efb1b4eb889e269c98e09f661,1/31/2020,2/4/2020
6927,outfit.c5f49a672e194b7baa081a2776a0d374,11/22/2019,11/26/2019
7408,outfit.ee3c73aeaee94979b25b1f68b43226fb,8/30/2018,9/4/2018
4672,outfit.b227d2e4685f4a56a13c4e43023021ec,3/2/2020,3/5/2020
2588,outfit.d60c7801271e488d88f0f13a0b28e6b6,4/25/2019,4/29/2019
3094,outfit.93e76f0fe5214daa9d2564ddb99a41ab,12/7/2017,12/12/2017
6137,outfit.9c101c6da5bfc6e1,11/13/2019,11/18/2019
5313,outfit.5ae76cc39b2b4049bafb00a9203254ae,1/11/2019,1/14/2019
406,outfit.ac8b03dd9ec856a5,12/14/2017,12/21/2017
3799,outfit.8847bcef78d541ea9213c26a74215af8,7/5/2019,7/8/2019
3597,outfit.0b0d9b0d0985434fb2501dc2fa6a13ef,2/26/2020,2/29/2020
5417,outfit.9a4f2e604c9c4b90ad8fb9770b33aaed,8/6/2019,8/12/2019
2182,outfit.ae8719e1c334e5e1,3/19/2018,3/30/2018
5181,outfit.a87010df418c4805ac86c9a09795e688,6/28/2019,7/1/2019
6603,outfit.9c0480eeb92a1d29,6/8/2018,6/11/2018
3223,outfit.191d1c0c21024f55aef97127c0555421,12/10/2018,12/13/2018
2898,outfit.5fe68e4d10c84ec687f8dce95c7565c4,12/10/2018,12/13/2018
489,outfit.804540f3384690cf,3/7/2019,3/11/2019
5244,outfit.26c82e30f60747a8b12584e43145fed3,9/14/2019,9/21/2019
6677,outfit.8c4fd420f4c7447590144d2fa4bf6f8c,5/3/2019,5/6/2019
5590,outfit.32722b47b465460e91c775e73609e78b,12/29/2018,1/10/2019
4101,outfit.77115f3958a24ad98cc8568e3fbe0da8,2/26/2018,4/3/2018
5392,outfit.b2549a62df655bd3,5/2/2018,5/6/2018
3973,outfit.e8e4d130fa3e4f108127dc74fd854a75,1/8/2019,1/14/2019
2267,outfit.3aba9737d2f445478a8ce23b2fc22da8,3/22/2019,3/23/2019
6624,outfit.1515a54502e34532a658bb12f419c557,6/14/2018,6/21/2018
5436,outfit.676f2b8ab3894ff293c0fbd62398bc05,8/16/2019,8/19/2019
5957,outfit.f40373a3c86d43cda4155344e39334c7,11/15/2019,11/18/2019
3490,outfit.22ff5d532d24420891c0292df8da84dd,11/27/2018,12/2/2018
7267,outfit.150dfea353754793b615998907ebffc6,9/7/2019,9/10/2019
4077,outfit.a4699b3b33b4d99c,12/16/2019,12/20/2019
3273,outfit.dbfe3204cc5347ccb960e11b93ddd49e,2/14/2019,2/26/2019
2644,outfit.4e30522dd76146919c6a76dcc74d971e,9/20/2018,9/24/2018
7036,outfit.9617c0965077556e,11/20/2017,12/11/2017
5255,outfit.ae922e922588454591edca7cabf0db48,2/17/2018,2/26/2018
224,outfit.079e8fb4cebd4a3a91aee2b4f0ecc3c7,9/28/2018,10/1/2018
5508,outfit.2204df2016c84afd873a1d7e09f6ec75,12/15/2018,12/31/2018
5472,outfit.8b19ab819889dc0a,1/28/2020,1/31/2020
4335,outfit.a38bb6a6732e6d8d,6/6/2018,6/11/2018
4293,outfit.925c69db26f6bbae,5/21/2020,5/23/2020
2004,outfit.e8e4d130fa3e4f108127dc74fd854a75,12/12/2019,1/2/2020
4540,outfit.11c8bc7fcf3145f29a1b9be52483b41a,10/5/2018,10/8/2018
2026,outfit.cc03f27af19f42a483a2f03ad997279d,11/21/2019,11/25/2019
6886,outfit.89526e4dc41ec394,5/24/2019,5/27/2019
7389,outfit.7ee7542297f944ecb49f4fe5b44728f7,3/30/2019,3/31/2019
2722,outfit.8745fe6f294d4f41,4/9/2018,4/12/2018
5917,outfit.42a8e95bb846494180cdecd79c1f988a,2/13/2020,2/15/2020
633,outfit.77afaa494e3e439384ec71a0b6634225,5/25/2019,6/3/2019
3732,outfit.36462b7293ae423fb6b7180022cfcb58,8/16/2019,8/19/2019
6705,outfit.bc2d17659e8b4d6b8bae2675b1c9dcd9,8/2/2018,8/6/2018
5417,outfit.9d1bc156980ab579,11/20/2018,11/29/2018
3159,outfit.98a0bb3110de7f3e,5/24/2019,5/26/2019
4534,outfit.e1a782a63cf54c7aa654d30392da1daa,10/31/2019,11/28/2019
2685,outfit.bba7f11475d0f5f4,2/28/2018,3/9/2018
5757,outfit.0512cb21a4bc4326971af84ccc563495,6/6/2019,6/9/2019
5823,outfit.bb7ece13dc0d741c,1/8/2019,1/13/2019
5186,outfit.fbc31b2005504087aa980bf59e078b7e,12/21/2018,12/23/2018
5229,outfit.817cf154a066e6e0,5/31/2018,6/4/2018
5063,outfit.b56290d50f064fe98fa70788af8f41a4,2/8/2019,2/11/2019
2444,outfit.cdcd1bdbc00e4a1cb9b80f7f5bbddd49,5/16/2018,5/19/2018
4101,outfit.59f5e44d06e04f8994127e5f6cc8c05c,6/8/2018,6/11/2018
3241,outfit.138c6d460dc14dd4a223e9f2a484ad6d,3/6/2020,3/9/2020
2567,outfit.3261b5e6c4574ee9aacde7740fde9f7c,2/3/2020,3/2/2020
5045,outfit.cb626f52e7bc499ca0df86382ce75683,6/21/2018,6/26/2018
1669,outfit.a919abc8016a8953,8/17/2018,8/20/2018
3423,outfit.aa3e933711a2177e,8/31/2018,9/3/2018
489,outfit.992bf5adcd39d953,4/6/2019,4/17/2019
959,outfit.b6a27dfa0198a9bb,6/6/2018,6/10/2018
6486,outfit.b613acc51d432ec7,12/29/2017,1/2/2018
6926,outfit.83b1e08b46bf0031,4/4/2018,4/9/2018
1369,outfit.95537b4e967d581a,1/23/2018,1/27/2018
6611,outfit.2642578f25ad4381a56801865b762244,2/14/2019,2/18/2019
4077,outfit.8776f5d660d948c9bf3243220d6b1f16,11/23/2019,11/28/2019
5433,outfit.b619ba973b4b49d79c89863737097ab3,11/15/2019,11/18/2019
6530,outfit.d60c7801271e488d88f0f13a0b28e6b6,6/15/2019,6/16/2019
1331,outfit.f44679211a454ace95d1011979fcc289,8/23/2019,8/26/2019
7334,outfit.a7e7a84a147946b6,5/10/2018,5/13/2018
1382,outfit.15d79dfee61f4e1a840f3fa2368563de,2/18/2020,3/10/2020
7325,outfit.9038623c473340038e17175e97642e27,7/5/2019,7/8/2019
2422,outfit.95a9732c69cb1e4c,12/12/2019,12/16/2019
2151,outfit.98da0ca4a4eb9826,5/9/2018,5/16/2018
6890,outfit.e698a404f52e43459098b6a320af234f,6/26/2019,7/1/2019
746,outfit.cdcd1bdbc00e4a1cb9b80f7f5bbddd49,8/24/2018,8/27/2018
5121,outfit.f08a6ccde6e84891b7c92ea57812cdf7,6/15/2018,6/18/2018
1434,outfit.a6d54a6b44485eef,6/21/2019,6/24/2019
3761,outfit.3230795e6aed435ab96c8fcf5e56fd08,1/10/2020,1/13/2020
746,outfit.4c92323fd2ef4269a4738edf73c26910,8/7/2018,8/14/2018
5024,outfit.a2fae1e6ba2d46d4a8544ea51012a7ef,5/27/2019,6/3/2019
7273,outfit.9d470d5e4955bb54,7/31/2018,8/6/2018
3939,outfit.13379a4cae2c4b708668b100186882f4,6/28/2018,6/30/2018
4540,outfit.11c8bc7fcf3145f29a1b9be52483b41a,10/5/2018,10/8/2018
7107,outfit.8a14e50b3c1a924f,9/19/2018,9/24/2018
2567,outfit.b9e50bdab7103d0c,1/5/2018,1/18/2018
2582,outfit.ef0d6228b55f41d9b81279146ccef852,10/8/2019,10/14/2019
5945,outfit.9027bba657437c21,6/14/2019,6/17/2019
769,outfit.905ebbead16b82fa,9/7/2018,9/10/2018
613,outfit.150dfea353754793b615998907ebffc6,5/18/2019,6/9/2019
5012,outfit.70d6766b4a234bc080d9963201a890c1,11/30/2017,12/1/2017
4399,outfit.5cbe049a317f44f7b7400d977024eea3,12/5/2019,12/8/2019
4738,outfit.95537b4e967d581a,8/6/2018,8/30/2018
6074,outfit.129d52ba514a406c959c2ca3b67f696e,8/2/2019,8/5/2019
4951,outfit.896f0af4aaaa4d56a26ab9e37e94ad14,11/28/2019,12/3/2019
1453,outfit.4c54ef04cc1d42c7b2f3dd003b313050,8/23/2018,8/27/2018
1736,outfit.76e5f3f81f434505a465ca248e0b5155,11/23/2018,12/10/2018
4867,outfit.13830724df15455ebac964c87af6997e,3/13/2019,3/17/2019
600,outfit.8f6c3fbd7db0400caaf95a95ab29a97d,12/30/2019,1/2/2020
3850,outfit.1a00ea6f566c40b3865a214d062a462d,11/13/2018,11/16/2018
5010,outfit.62bd543079dc4c8d8241b1969a4562e9,5/25/2018,6/1/2018
972,outfit.bbab0ccce6d94d0482bacad061df49b9,6/17/2019,6/20/2019
5391,outfit.804540f3384690cf,4/10/2019,4/13/2019
6502,outfit.154e86ee968d49f6ba7220ee233223d3,8/16/2019,4/8/2020
4112,outfit.f735f6cd106e49bd9cb481a320b6fcef,6/7/2019,6/9/2019
1106,outfit.36654cc2920c42b7a8c294cf349544fe,1/15/2019,2/5/2019
6705,outfit.8de70e2a9b7f463eb44f6a072e14d1a2,10/5/2019,10/8/2019
3741,outfit.b1f45b37af5affd6,12/20/2017,12/27/2017
3050,outfit.b5812826d5eb41f39aa282e64b91ebb6,12/6/2018,1/5/2019
4008,outfit.2684b038d1e64fa1814b56b51b834047,11/14/2019,11/22/2019
746,outfit.263e3329a91c4f90987b67f7bcae0aa7,6/5/2018,6/15/2018
535,outfit.b007c02c865c300c,8/21/2018,9/21/2018
3682,outfit.d5a4b9683cd643f48dab6d109b0aa729,8/13/2019,8/19/2019
5392,outfit.be4bf03e8bc8d176,4/9/2018,4/23/2018
1339,outfit.8cfc55268c1941bd9f15ea654075964e,6/12/2018,6/18/2018
5954,outfit.0d0727d0c03f453495eaa85dc17d382d,11/14/2019,11/18/2019
2823,outfit.98e0bb4a735b1bf8,2/28/2019,3/4/2019
746,outfit.b2206c1b8be94546ab034c86d3fc7006,1/7/2019,1/10/2019
688,outfit.b4826b0abb7b595e,12/31/2018,1/2/2019
5726,outfit.843ff45ec72d499cb14aefb24735dbf3,8/23/2018,8/27/2018
2206,outfit.f44679211a454ace95d1011979fcc289,6/28/2019,6/29/2019
4615,outfit.4892be371351452f8b405247682153c5,10/18/2019,10/21/2019
6413,outfit.b9344188bba8fbcc,2/5/2018,2/8/2018
7165,outfit.13830724df15455ebac964c87af6997e,1/11/2019,1/15/2019
4008,outfit.b49e6f1cc73f48f9a6329311214ee57f,9/19/2019,9/21/2019
873,outfit.751a6b41574348dfab0a2d35f2dd3973,4/30/2020,5/4/2020
4131,outfit.17d46595c516434486f3d219a909a855,10/31/2019,11/12/2019
4425,outfit.8a400fd187094435a2d4c92be61f9791,9/14/2018,9/17/2018
5556,outfit.53a0c9e1c47d442dbdcfb14c54769e08,9/12/2019,9/16/2019
715,outfit.a4870ed967c9d3bf,12/15/2017,12/17/2017
6813,outfit.8b19ab819889dc0a,6/6/2019,6/11/2019
6279,outfit.dbdf67e036594d06822a33b770bd4c37,12/2/2019,12/4/2019
2594,outfit.b2d03e45da3d91db,6/20/2019,6/25/2019
2718,outfit.87752ffbbe69477baaf2a2382738acb8,3/3/2020,3/5/2020
6943,outfit.adde388346d8719f,12/23/2019,12/27/2019
2818,outfit.be837201dbe28113,3/6/2019,3/9/2019
3145,outfit.b45f71cef3bf96b3,3/20/2019,3/25/2019
1637,outfit.b9624540e3fd5dc3,12/5/2017,12/21/2017
3709,outfit.7406df88036f4f16bfc1a4c03002d315,11/15/2019,11/18/2019
397,outfit.a874500a8f8bf4ff,8/20/2019,9/2/2019
5041,outfit.beb24dfdb4829222,8/18/2018,9/18/2018
6024,outfit.60100019807c48a892195be2a047c618,3/29/2019,4/1/2019
5242,outfit.2f373c0f3edd455fbe464f43ea580443,2/1/2018,2/10/2018
6064,outfit.db13e9deae904483bed85c8358f81a8e,8/31/2018,8/3/2018
409,outfit.b5812826d5eb41f39aa282e64b91ebb6,8/24/2019,8/27/2019
3035,outfit.4cbda361e12e4d65a5fb502dfd38076a,6/13/2019,6/16/2019
2607,outfit.b619ba973b4b49d79c89863737097ab3,8/30/2019,9/2/2019
4321,outfit.794483397da8425a813301eecf9828c6,6/12/2019,6/13/2019
2586,outfit.8ef800f89c61eaa5,6/26/2019,7/1/2019
4840,outfit.684efa997862433aaf292a14289eaa4a,9/17/2019,9/24/2019
4286,outfit.bfb33e4e5bbe2e8c,9/7/2018,9/10/2018
4748,outfit.57729471dc4a42fc8ebf94a2741b54ac,10/4/2019,10/7/2019
3258,outfit.9be713a0af3b45aa9577949469b1e0de,6/26/2019,6/29/2019
7213,outfit.0512cb21a4bc4326971af84ccc563495,12/18/2019,12/23/2019
489,outfit.f566554a9cea4c0fb77e1f9a7708c398,5/24/2019,5/31/2019
7052,outfit.083b787389954cc09d79eab4ed0424a6,12/19/2018,12/22/2018
1909,outfit.d14ca830a51d455ca672e1f11d4554d4,8/6/2018,8/10/2018
3781,outfit.841f070dd5a12094,1/18/2018,1/23/2018
4790,outfit.e8e4d130fa3e4f108127dc74fd854a75,6/3/2019,6/12/2019
296,outfit.8b1227cc2a3b68a4,8/21/2018,8/27/2018
4490,outfit.8b19ab819889dc0a,10/30/2018,11/2/2018
4642,outfit.5bb0f49f3f5b4c37af8c4f0269dec907,8/23/2019,8/26/2019
3536,outfit.173befabe7a14130b0e646ca4152150c,11/20/2019,11/23/2019
3888,outfit.6a1c0d8e6e3e470c8abb5018def8bdce,1/24/2019,1/31/2019
3850,outfit.9341a89b191cd49f,2/16/2018,2/23/2018
1599,outfit.71442f9043504300907b80e2385f9ae4,2/15/2019,2/18/2019
2255,outfit.997cc9186af544f29558c4af02f09511,12/10/2019,12/13/2019
4738,outfit.19b65a13d33c4f0dae36ace48aec7bc1,8/22/2018,8/27/2018
5908,outfit.48dec5565f454acf903fe1ce1f41a39e,8/21/2019,8/26/2019
5242,outfit.b7c427687b980da9,1/23/2018,1/26/2018
6571,outfit.9c13efc6d98e438dacfcf352e138dd2d,1/3/2019,1/6/2019
7081,outfit.8745fe6f294d4f41,8/29/2019,9/3/2019
3850,outfit.0765434fe76e4502aa76dbde3720d25d,12/7/2018,12/10/2018
4494,outfit.b4562828b214a7b0,2/27/2019,3/3/2019
3094,outfit.8ebae7f8101b2b7a,12/21/2017,1/18/2018
687,outfit.f735f6cd106e49bd9cb481a320b6fcef,9/6/2018,9/10/2018
4109,outfit.ab1e952330087c99,2/11/2019,2/14/2019
5256,outfit.138c6d460dc14dd4a223e9f2a484ad6d,8/23/2019,8/26/2019
3414,outfit.33c44fa9c1894165bfa3586ae85c1d00,12/23/2019,12/28/2019
4738,outfit.21b0ff3e7ffb42b8a2d89844c080e65c,5/19/2018,5/22/2018
5117,outfit.8cfc55268c1941bd9f15ea654075964e,9/16/2019,9/23/2019
6827,outfit.d2affda3780840e8bab443abbd2e5478,2/20/2020,2/24/2020
5417,outfit.b2194a655acd4fc683da0607aed980aa,2/7/2020,2/21/2020
1119,outfit.a4699b3b33b4d99c,7/5/2019,7/8/2019
4386,outfit.b613acc51d432ec7,8/24/2018,8/28/2018
1870,outfit.154e86ee968d49f6ba7220ee233223d3,8/23/2018,8/27/2018
7342,outfit.8d6a34817ba54992a71abef91d5486e8,8/22/2019,8/26/2019
1813,outfit.2055788ae1cb401bb3e88f887d5bd028,2/6/2018,2/15/2018
2541,outfit.304406542cf74b3fac725e6034687fa6,8/8/2019,8/11/2019
7296,outfit.ae3c94e801eb4aebb7c3714ec981521c,2/25/2019,3/25/2019
1434,outfit.92101abfe02e418f8bc033846dc6d1c8,8/25/2018,9/4/2018
1264,outfit.334b374309d442f3bd75b6e93d6f9b15,3/28/2019,3/31/2019
109,outfit.bfb33e4e5bbe2e8c,4/1/2019,4/4/2019
2899,outfit.a5f369e8f0504905bd14d3a58f8dc8cb,3/19/2020,3/23/2020
1403,outfit.9e6696c409727ca2,4/16/2018,4/25/2018
